moviechrono_id;"movie,""chapter"",""character"",""dialog""";
106;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bellatrix Lestrange"",""I don't like to be kept waiting.""";
107;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Goblin"",""Next.""";
108;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bellatrix Lestrange"",""He's with me.""";
109;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Griphook"",""They know!""";
110;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Ron Weasley"",""What do you mean?""";
111;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Griphook"",""They know she's an imposter! They've been warned!""";
112;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bogrod"",""Madam Lestrange. Would you mind presenting your wand?""";
113;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bellatrix Lestrange"",""And why should I do that?""";
114;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Ron Weasley"",""Harry, what do we do? Harry...?""";
115;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bogrod"",""It's the bank's policy. I'm sure you understand, given the current climate --""";
116;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bellatrix Lestrange"",""No, I most certainly do not understand --""";
117;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bogrod"",""I'm afraid I must insist.""";
118;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Harry Potter"",""Imperio.""";
119;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bogrod"",""Very well, Madam Lestrange. If you will follow me.""";
120;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Goblin"",""But... Bogrod, there have been special instructions regarding the Lestrange vault.""";
121;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bogrod"",""I'm fully aware of that. I'm also aware the Lestranges are one of our oldest and most respected families.""";
122;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Goblin"",""Yes, sir, but our instructions are very specific --""";
123;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bogrod"",""Let me be specific with you, Ricbert. I've run this bank for forty-five years, long before anyone had even heard of a Death Eater. The day may come that they feel they can run this place better than me, but that day has not yet arrived. Am I understood!""";
124;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bogrod"",""Madam, if you will, I will escort you myself.""";
125;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Harry Potter"",""How long before they come after us?""";
126;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Ron Weasley"",""What's that? Up ahead.""";
127;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Griphook"",""I should have known --""";
128;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Harry Potter"",""What is that, Griphook?""";
129;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Harry Potter"",""Griphook! What is that!""";
130;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Harry Potter"",""Well done. Hey.""";
131;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Griphook"",""The Thief's Downfall. Washes away all enchantments. Can be deadly.""";
132;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Ron Weasley"",""You don't say.  Just out of interest... is there any other way out of here?""";
133;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Griphook"",""No.""";
134;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bogrod"",""What the devil are you all doing down here!""";
135;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Griphook"",""We need him!""";
136;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Bogrod"",""Is this your doing, Griphook? You have no rights here anymore. When you gave up your keys, you --""";
137;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Ron Weasley"",""Imperio!""";
138;"Harry Potter and the Deathly Hallows Part 2,""Gringotts"",""Griphook"",""Well done.""";
