chrono_id;movie;chapter;character;dialog
6848;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bellatrix Lestrange;No, I most certainly do not understand --
6849;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bogrod;I'm afraid I must insist.
6850;Harry Potter and the Deathly Hallows Part 2;Gringotts;Harry Potter;Imperio.
6851;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bogrod;Very well, Madam Lestrange. If you will follow me.
6852;Harry Potter and the Deathly Hallows Part 2;Gringotts;Goblin;But... Bogrod, there have been special instructions regarding the Lestrange vault.
6853;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bogrod;I'm fully aware of that. I'm also aware the Lestranges are one of our oldest and most respected families.
6854;Harry Potter and the Deathly Hallows Part 2;Gringotts;Goblin;Yes, sir, but our instructions are very specific --
6855;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bogrod;Let me be specific with you, Ricbert. I've run this bank for forty-five years, long before anyone had even heard of a Death Eater. The day may come that they feel they can run this place better than me, but that day has not yet arrived. Am I understood!
6856;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bogrod;Madam, if you will, I will escort you myself.
6857;Harry Potter and the Deathly Hallows Part 2;Gringotts;Harry Potter;How long before they come after us?
6858;Harry Potter and the Deathly Hallows Part 2;Gringotts;Ron Weasley;What's that? Up ahead.
6859;Harry Potter and the Deathly Hallows Part 2;Gringotts;Griphook;I should have known --
6860;Harry Potter and the Deathly Hallows Part 2;Gringotts;Harry Potter;What is that, Griphook?
6861;Harry Potter and the Deathly Hallows Part 2;Gringotts;Harry Potter;Griphook! What is that!
6862;Harry Potter and the Deathly Hallows Part 2;Gringotts;Harry Potter;Well done. Hey.
6863;Harry Potter and the Deathly Hallows Part 2;Gringotts;Griphook;The Thief's Downfall. Washes away all enchantments. Can be deadly.
6864;Harry Potter and the Deathly Hallows Part 2;Gringotts;Ron Weasley;You don't say.  Just out of interest... is there any other way out of here?
6865;Harry Potter and the Deathly Hallows Part 2;Gringotts;Griphook;No.
6866;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bogrod;What the devil are you all doing down here!
6867;Harry Potter and the Deathly Hallows Part 2;Gringotts;Griphook;We need him!
6868;Harry Potter and the Deathly Hallows Part 2;Gringotts;Bogrod;Is this your doing, Griphook? You have no rights here anymore. When you gave up your keys, you --
6869;Harry Potter and the Deathly Hallows Part 2;Gringotts;Ron Weasley;Imperio!
6870;Harry Potter and the Deathly Hallows Part 2;Gringotts;Griphook;Well done.
6871;Harry Potter and the Deathly Hallows Part 2;Gringotts;Ron Weasley;No. It's not possible...
6872;Harry Potter and the Deathly Hallows Part 2;Gringotts;Ron Weasley;Bloody hell. That's a Welsh Green.
6873;Harry Potter and the Deathly Hallows Part 2;Gringotts;Hermione Granger;It looks like it's been down here forever.
6874;Harry Potter and the Deathly Hallows Part 2;Gringotts;Griphook;Go on.
6875;Harry Potter and the Deathly Hallows Part 2;Gringotts;Ron Weasley;It's been trained to expect pain when it hears the noise.
