moviechrono_id;"movie,""chapter"",""character"",""dialog""";;;
74;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Alastor Moody"",""Contacts to the south!""";;;
75;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Kingsley Shacklebolt"",""Mad-eye! You, Tonks, and Lupin take Harry! We'll slow them down!""";;;
76;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Remus Lupin"",""There's the other one, Alastor!""";;;
77;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Harry Potter"",""Expecto--!""";;;
78;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Remus Lupin"",""Harry, leave it to us!""";;;
79;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Harry Potter"",""No!""";;;
80;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Remus Lupin"",""""""Expecto Patronum!'""";;;
81;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Remus Lupin"",""Get Harry to the safe house!""";;;
82;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Alastor Moody"",""Come on, Potter! Keep moving!""";;;
83;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Harry Potter"",""But I can help!""";;;
84;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Alastor Moody"",""Potter, getting yourself killed won't do a thing. Now move!""";;;
85;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Alastor Moody"",""We're not far, now!""";;;
86;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Alastor Moody"",""Did you get rid of them?""";;;
87;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Kingsley Shacklebolt"",""They're gone, Alastor.""";;;
88;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Nymphadora Tonks"",""We're there!""";;;
89;"Harry Potter and the Order of the Phoenix,""The Advance Guard"",""Alastor Moody"",""Prepare for descent! Form up around Harry!""";;;
