moviechrono_id;"movie,""chapter"",""character"",""dialog"""
69;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""Lily.  Lovely Lily.  She was exceedingly bright -- your mother. Even more impressive when one considers she was Muggle-born."""
70;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Harry Potter"",""One of my best friends is Muggle- born.  She's the best in our year."""
71;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""Oh, but you mustn't think I'm prejudiced!  No, no, no! Your mother was one of my absolute favorites!  Look, there she is. Right up front."""
72;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""All mine, each and every one.  Ex- students, I mean.  You recognize Barnubas Cuffe, of course, editor of the Daily Prophet."""
73;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""Always takes my owl should I want to register my opinion on the news of the day.  And there's Ambrosius Flume of Honeydukes.  Sends a hamper of chocolate to the house each birthday.  That is, when I had a house.  And Gwenog Jones, captain of the Holyhead Harpies -- free tickets whenever I want them. Of course, I haven't been to a match in some time..."""
74;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""Ah yes.  Regulus Black.  You no doubt know of his older brother Sirius.  Died a few weeks ago.  I taught the whole Black family except Sirius.  Shame.  Talented boy.  I got Regulus when he came along, of course, but I'd have liked the set."""
75;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""Mind if I take this?  I do love knitting patterns."""
76;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""Of course.  But you're not leaving?"""
77;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""I think I know a lost cause when I see one.  Regrettable.  I would have considered it a personal triumph had you consented to return to Hogwarts, Horace.  You are, like my friend Mr. Potter -- one of a kind."""
78;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Horace Slughorn"",""All right!  I'll do it.  But I'll be wanting Professor Merrythought's old office, not that water closet I had formerly. And I expect a raise!  These are mad times we live in!  Mad!"""
79;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""Indeed they are."""
80;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Harry Potter"",""Sir, exactly what was that all --"""
81;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""You are talented, famous and powerful -- everything Horace values.  Professor Slughorn is going to try to collect you, Harry.  You would be his crowning jewel.  That is why he is returning to Hogwarts.  And it is crucial he return..."""
82;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""I fear I may have stolen a wondrous night from you, Harry. She was, truthfully, very pretty. The girl."""
83;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Harry Potter"",""It's alright, sir.  I'll go back tomorrow, make some excuse --"""
84;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""You'll not be going back to Little Whinging tonight, Harry."""
85;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Harry Potter"",""But, sir.  What about Hedwig?  And there's my trunk --"""
86;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Albus Dumbledore"",""Both are waiting for you."""
87;"Harry Potter and the Half-Blood Prince,""Horace Slughorn"",""Harry Potter"",""Sir?"""
88;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ginny Weasley"",""Hedwig...?  Mum!"""
89;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ginny Weasley"",""Exactly.  How'd you guess?"""
90;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ginny Weasley"",""I'm joking, Mum."""
91;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Molly Weasley"",""You're worse than Fred and George."""
92;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ginny Weasley"",""Now you're joking.  I was only wondering when Harry got here."""
93;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Molly Weasley"",""Harry who?"""
94;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ginny Weasley"",""Harry Dimpleton.  Harry Potter, of course."""
95;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Molly Weasley"",""I think I'd know if Harry Potter was in my house, wouldn't I?"""
96;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ginny Weasley"",""Well his trunk's in the kitchen. And his owl."""
97;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Molly Weasley"",""I seriously doubt that."""
98;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""Harry?  Did someone say Harry?"""
99;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ginny Weasley"",""Me, nosy.  Is he up there with you?"""
100;"Harry Potter and the Half-Blood Prince,""What Could Be Safer?"",""Ron Weasley"",""'Course not.  Think I'd know if my best friend was in my room, wouldn't I?"""
